Tahun,Bulan,Nilai,Berat
2010,01,691.1,973.3
2010,02,789.9,1097.6
2010,03,767.7,1050.6
2010,04,729.4,972.1
2010,05,843.9,1108
2010,06,908.5,1199.2
2010,07,821.1,1085.6
2010,08,1753,2238.9
2010,09,1154.6,1429.9
2010,10,1574.4,1767.2
2010,11,1698.8,1742.2
2010,12,1736.6,1627.2
2011,01,1373.9,1236.7
2011,02,1037.1,879.7
2011,03,512.2,436.8
2011,04,1310.5,1180.6
2011,05,1966.1,1778.2
2011,06,1883.8,1693.1
2011,07,822.7,740
2011,08,2063.7,1959.6
2011,09,1432.8,1375.6
2011,10,1266.7,1277.7
2011,11,2040.5,2155.2
2011,12,1551.3,1717
2012,01,1586.4,1612.5
2012,02,1271.5,1275.3
2012,03,1749.6,1723.2
2012,04,1425.1,1347.5
2012,05,1052.6,986.2
2012,06,1118.1,1108
2012,07,1936,2012
2012,08,1310.8,1385.1
2012,09,1734.7,1852.9
2012,10,1232.3,1451
2012,11,1791.2,2256.4
2012,12,1393.7,1835
2013,01,1685.8,2296.6
2013,02,1426.3,1889
2013,03,1019.4,1308.9
2013,04,1167.7,1492.7
2013,05,1428.6,1844.2
2013,06,1311.6,1687.7
2013,07,992.7,1270.4
2013,08,1108.7,1454.4
2013,09,1210.3,1587.3
2013,10,1171.4,1539.7
2013,11,1921.9,2456.4
2013,12,1394.7,1750.9
2014,01,1192.3,1465.3
2014,02,1475.9,1849.7
2014,03,1720.4,2075.9
2014,04,837,991.7
2014,05,1647.7,1967.5
2014,06,1577.6,1918.1
2014,07,1637.7,2071.4
2014,08,1301.6,1694.3
2014,09,1365.7,1938
2014,10,1832.8,2734.8
2014,11,1482.7,2144.4
2014,12,1392.6,2041.3
2015,01,1247.2,1890.3
2015,02,1162.2,1810.1
2015,03,1264,1986
2015,04,1519.6,2461.7
2015,05,1279.2,2089.3
2015,06,1529.8,2500
2015,07,1211.8,1993
2015,08,1157.7,1991.9
2015,09,1215.3,2330
2015,10,1307.4,2583.5
2015,11,1135.9,2204.5
2015,12,1464.3,2768
2016,01,1136.8,2087.4
2016,02,1139.1,2036.7
2016,03,1098.2,1850.7
2016,04,1231,1893.4
2016,05,1178,1698.8
2016,06,1121.7,1602.2
2016,07,1064,1585.2
2016,08,1269.4,1896.5
2016,09,1292.3,1791.4
2016,10,1605.6,2252.8
2016,11,1909.1,2718.6
2016,12,1919.9,2650.4
2017,01,1965.1,2575.1
2017,02,1741.1,2221
2017,03,1797.8,2360.3
2017,04,1574.2,2215.9
2017,05,1653.4,2403.9
2017,06,1388.7,2045.5
2017,07,1500.5,2248.7
2017,08,1840.1,2826.8
2017,09,1685.3,2499
2017,10,1677.8,2382.8
2017,11,1810.4,2519.8
2017,12,1706,2471.1
2018,01,1493.8,2243.2
2018,02,1512.9,2248.7
2018,03,1480.1,2162.3
2018,04,1387.2,2048.7
2018,05,1390.9,2085.8
2018,06,1342.6,2091.6
2018,07,1591.8,248884
2018,08,1617.7,2724.7
2018,09,1602.2,2787.3
2018,10,1619.5,28731.1
2018,11,1450.9,2707.8
2018,12,1406.8,2742.5
2019,01,1411.9,2797.1
2019,02,1196.6,2280.7
2019,03,1216.4,2237.6
2019,04,1051.1,1976.3
2019,05,1193.1,2291.2
2019,06,1086.3,2154.7
2019,07,1216.2,2462.2
2019,08,1223.6,2450.5
2019,09,1379.9,2665.2
2019,10,1329.9,2537.2
2019,11,1445.6,2657.8
2019,12,1805.7,3010.7
2020,01,1337.9,1883.1
2020,02,1489.1,2066
2020,03,1450,2182.8
2020,04,1282.4,2113.6
2020,05,1124.9,1924.7
2020,06,1258.2,2225.7
2020,07,1488.1,2527.5
2020,08,1354.8,2152.9
2020,09,1531,2243.2
2020,10,1686.9,2368.6
2020,11,2096.1,2743.6
2020,12,2348.6,2899.8
2021,01,2146.4,2343.3
2021,02,1446.9,1506.1
2021,03,2586,2613.9
2021,04,2179.9,2124.5
2021,05,2441,2318.7
2021,06,1529.6,1435
2021,07,2630.5,2560.8
2021,08,3664.6,3509.6
2021,09,2430.3,2262.8
2021,10,2990.5,2577.5
2021,11,2072.6,1690.9
2021,12,2487.8,1954.6
2022,01,2026,1585.7
2022,02,2026.1,1543.3
2022,03,2622.7,1831.3
2022,04,2487.7,1595
2022,05,456.1,257.5
2022,06,2890.1,1842.5
2022,07,2940.4,2245.4
2022,08,3918.6,3744.5
